rank,name,confed,off,def,spi
141,Palestine,AFC,0.77,1.47,28.47
142,Kyrgyzstan,AFC,0.85,1.62,28.08
143,Niger,CAF,0.87,1.73,26.83
144,Turkmenistan,AFC,0.87,1.73,26.68
145,Fiji,OFC,0.67,1.45,26.35
146,Martinique,CONCACAF,0.94,1.85,26.34
147,Latvia,UEFA,0.83,1.75,25.45
148,Guyana,CONCACAF,1.13,2.22,25.06
149,Belize,CONCACAF,0.79,1.73,24.84
150,Suriname,CONCACAF,0.76,1.71,24.52
151,Antigua and Barbuda,CONCACAF,1.09,2.2,24.48
152,Faroe Islands,UEFA,0.78,1.76,24.09
153,Solomon Islands,OFC,0.69,1.71,22.71
154,Zanzibar,CAF,0.49,1.47,21.39
155,New Caledonia,OFC,0.69,1.85,20.92
156,Malaysia,AFC,0.76,1.98,20.71
157,Swaziland,CAF,0.61,1.73,20.63
158,Barbados,CONCACAF,0.54,1.61,20.53
159,Dominica,CONCACAF,0.55,1.65,20.29
160,Puerto Rico,CONCACAF,0.74,2.0,19.89
161,Eritrea,CAF,0.79,2.1,19.77
162,Tahiti,OFC,0.81,2.15,19.56
163,Philippines,AFC,0.72,2.02,19.31
164,South Sudan,CAF,0.73,2.07,18.83
165,India,AFC,0.54,1.82,17.9
166,Malta,UEFA,0.64,1.99,17.89
167,Singapore,AFC,0.65,2.05,17.47
168,Sao Tome and Principe,CAF,0.76,2.33,16.53
169,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
170,Tajikistan,AFC,0.65,2.15,16.32
171,Hong Kong,AFC,0.34,1.57,16.04
172,Grenada,CONCACAF,0.68,2.22,16.04
173,Vanuatu,OFC,0.64,2.17,15.99
174,Mauritius,CAF,0.7,2.31,15.5
175,Gibraltar,UEFA,0.59,2.15,15.17
176,St. Lucia,CONCACAF,0.64,2.24,15.12
177,Liechtenstein,UEFA,0.62,2.26,14.51
178,Yemen,AFC,0.51,2.09,14.29
179,Andorra,UEFA,0.33,1.78,13.59
180,Afghanistan,AFC,0.53,2.46,11.07
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Indonesia,AFC,0.62,2.83,9.93
183,Myanmar,AFC,0.57,2.71,9.91
184,Montserrat,CONCACAF,0.81,3.24,9.65
185,Djibouti,CAF,0.62,2.86,9.59
186,Cayman Islands,CONCACAF,0.4,2.41,9.43
187,Papua New Guinea,OFC,0.6,2.88,9.16
188,Somalia,CAF,0.55,2.8,8.97
189,Bahamas,CONCACAF,0.73,3.44,7.5
190,Seychelles,CAF,0.41,2.8,7.04
191,Maldives,AFC,0.41,2.81,7.01
192,Bangladesh,AFC,0.25,2.46,6.78
193,French Guiana,CONCACAF,0.52,3.18,6.57
194,Nepal,AFC,0.23,2.48,6.39
195,Mongolia,AFC,0.25,2.72,5.41
196,Chinese Taipei,AFC,0.45,3.48,4.58
197,San Marino,UEFA,0.28,3.15,4.06
198,British Virgin Islands,CONCACAF,0.42,3.62,3.88
199,Bonaire,CONCACAF,0.37,3.59,3.5
200,Cambodia,AFC,0.28,3.35,3.44
201,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
202,Guam,AFC,0.51,4.42,2.48
203,Guadeloupe,CONCACAF,0.2,3.49,2.47
204,Anguilla,CONCACAF,0.35,4.08,2.29
205,Brunei,AFC,0.21,3.71,2.13
206,US Virgin Islands,CONCACAF,0.38,4.38,1.93
207,Sri Lanka,AFC,0.2,3.81,1.87
208,Pakistan,AFC,0.2,3.92,1.71
209,Laos,AFC,0.21,4.11,1.48
210,Bhutan,AFC,0.22,4.62,0.98
211,St. Martin,CONCACAF,0.23,4.89,0.81
212,Sint Maarten,CONCACAF,0.21,4.93,0.74
213,Tuvalu,OFC,0.38,5.62,0.7
214,Timor-Leste,AFC,0.33,5.56,0.64
215,Macau,AFC,0.2,5.11,0.6
216,Samoa,OFC,0.2,5.78,0.34
217,Tonga,OFC,0.2,6.08,0.26
